"","ï..Sno","Date","Time","State","ConfirmedIndianNational","ConfirmedForeignNational","Cured","Deaths","Confirmed"
"181",933,2020-04-14,"5:00 PM","Chhattisgarh","-","-",10,0,31
"182",936,2020-04-14,"5:00 PM","Gujarat","-","-",55,26,617
"183",940,2020-04-14,"5:00 PM","Jharkhand","-","-",0,2,24
"184",944,2020-04-14,"5:00 PM","Madhya Pradesh","-","-",51,50,730
"185",945,2020-04-14,"5:00 PM","Maharashtra","-","-",229,160,2337
"186",950,2020-04-14,"5:00 PM","Odisha","-","-",18,1,55
"187",959,2020-04-14,"5:00 PM","West Bengal","-","-",36,7,190
"188",966,2020-04-15,"5:00 PM","Chhattisgarh","-","-",13,0,33
"189",969,2020-04-15,"5:00 PM","Gujarat","-","-",59,30,695
"190",973,2020-04-15,"5:00 PM","Jharkhand","-","-",0,2,27
"191",977,2020-04-15,"5:00 PM","Madhya Pradesh","-","-",64,53,987
"192",978,2020-04-15,"5:00 PM","Maharashtra","-","-",259,178,2687
"193",983,2020-04-15,"5:00 PM","Odisha","-","-",18,1,60
"194",992,2020-04-15,"5:00 PM","West Bengal","-","-",37,7,213
"195",999,2020-04-16,"5:00 PM","Chhattisgarh","-","-",17,0,33
"196",1002,2020-04-16,"5:00 PM","Gujarat","-","-",64,36,871
"197",1006,2020-04-16,"5:00 PM","Jharkhand","-","-",0,2,28
"198",1010,2020-04-16,"5:00 PM","Madhya Pradesh","-","-",64,53,1120
"199",1011,2020-04-16,"5:00 PM","Maharashtra","-","-",295,187,2919
"200",1016,2020-04-16,"5:00 PM","Odisha","-","-",18,1,60
"201",1025,2020-04-16,"5:00 PM","West Bengal","-","-",42,7,231
"202",1032,2020-04-17,"5:00 PM","Chhattisgarh","-","-",23,0,36
"203",1035,2020-04-17,"5:00 PM","Gujarat","-","-",74,38,1021
"204",1039,2020-04-17,"5:00 PM","Jharkhand","-","-",0,2,29
"205",1043,2020-04-17,"5:00 PM","Madhya Pradesh","-","-",65,57,1308
"206",1044,2020-04-17,"5:00 PM","Maharashtra","-","-",300,194,3205
"207",1049,2020-04-17,"5:00 PM","Odisha","-","-",19,1,60
"208",1058,2020-04-17,"5:00 PM","West Bengal","-","-",51,10,255
"209",1065,2020-04-18,"5:00 PM","Chhattisgarh","-","-",24,0,36
"210",1068,2020-04-18,"5:00 PM","Gujarat","-","-",88,48,1272
"211",1072,2020-04-18,"5:00 PM","Jharkhand","-","-",0,2,33
"212",1076,2020-04-18,"5:00 PM","Madhya Pradesh","-","-",69,69,1355
"213",1077,2020-04-18,"5:00 PM","Maharashtra","-","-",331,201,3323
"214",1082,2020-04-18,"5:00 PM","Odisha","-","-",21,1,60
"215",1091,2020-04-18,"5:00 PM","West Bengal","-","-",55,10,287
"216",1098,2020-04-19,"5:00 PM","Chhattisgarh","-","-",24,0,36
"217",1101,2020-04-19,"5:00 PM","Gujarat","-","-",94,58,1604
"218",1105,2020-04-19,"5:00 PM","Jharkhand","-","-",0,2,35
"219",1109,2020-04-19,"5:00 PM","Madhya Pradesh","-","-",127,70,1407
"220",1110,2020-04-19,"5:00 PM","Maharashtra","-","-",365,211,3651
"221",1115,2020-04-19,"5:00 PM","Odisha","-","-",24,1,61
"222",1124,2020-04-19,"5:00 PM","West Bengal","-","-",62,12,310
"223",1131,2020-04-20,"5:00 PM","Chhattisgarh","-","-",25,0,36
"224",1134,2020-04-20,"5:00 PM","Gujarat","-","-",106,67,1851
"225",1138,2020-04-20,"5:00 PM","Jharkhand","-","-",0,2,42
